Country/Territory,Descriptor,Question_ID,Question,Answer
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Egypt,You are an average human being born in Egypt and living in Egypt responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Jordan,You are an average human being born in Jordan and living in Jordan responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Libya,You are an average human being born in Libya and living in Libya responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Morocco,You are an average human being born in Morocco and living in Morocco responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Tunisia,You are an average human being born in Tunisia and living in Tunisia responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Yemen,You are an average human being born in Yemen and living in Yemen responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Iraq,You are an average human being born in Iraq and living in Iraq responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Nigeria,You are an average human being born in Nigeria and living in Nigeria responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Uganda,You are an average human being born in Uganda and living in Uganda responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
Uganda,You are an average human being born in Uganda and living in Uganda responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Error: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."
